project_id,company_name,sector,initial_investment,negative II,cashflow_y1,cashflow_y2,cashflow_y3,risk_score,discount_rate,NPV
P1,Apple,tech,49939200000,-49939200000,10986624000,17478720000,19476288000,2,0.08,-9320309465
P2,Apple,tech,24969600000,-24969600000,7490880000,6492096000,7490880000,4,0.1,-7166331480
P3,Apple,tech,41616000000,-41616000000,12068640000,12900960000,17478720000,4,0.1,-6850537641
P4,Apple,tech,45777600000,-45777600000,15106608000,16937712000,17853264000,2,0.08,-3096145405
P5,Apple,tech,54100800000,-54100800000,17312256000,21099312000,24345360000,4,0.1,-2633908219
P6,Apple,tech,49939200000,-49939200000,13982976000,12484800000,20475072000,2,0.08,-10034524005
P7,Apple,tech,62424000000,-62424000000,21848400000,18102960000,18727200000,4,0.1,-13530671675
P8,Apple,tech,29131200000,-29131200000,7574112000,10487232000,8739360000,2,0.08,-6189436488
P9,Apple,tech,58262400000,-58262400000,15148224000,21557088000,22722336000,3,0.08,-7716815364
P10,Apple,tech,33292800000,-33292800000,10320768000,10986624000,11652480000,2,0.08,-5067159762
P11,Reliance Industries,energy,1.10E+12,-1.10E+12,2.53E+11,3.85E+11,3.30E+11,6,0.1,-3.04E+11
P12,Reliance Industries,energy,9.00E+11,-9.00E+11,2.34E+11,2.79E+11,3.33E+11,7,0.12,-2.32E+11
P13,Reliance Industries,energy,5.00E+11,-5.00E+11,1.10E+11,2.00E+11,1.90E+11,5,0.1,-91960931630
P14,Reliance Industries,energy,7.00E+11,-7.00E+11,2.03E+11,2.03E+11,2.38E+11,6,0.1,-1.69E+11
P15,Reliance Industries,energy,1.50E+12,-1.50E+12,4.65E+11,5.85E+11,4.80E+11,6,0.1,-2.33E+11
P16,Reliance Industries,energy,1.10E+12,-1.10E+12,3.19E+11,3.08E+11,4.73E+11,7,0.12,-2.33E+11
P17,Reliance Industries,energy,1.10E+12,-1.10E+12,3.85E+11,3.08E+11,3.41E+11,6,0.1,-2.39E+11
P18,Reliance Industries,energy,9.00E+11,-9.00E+11,2.97E+11,3.51E+11,3.06E+11,6,0.1,-1.10E+11
P19,Reliance Industries,energy,8.00E+11,-8.00E+11,2.32E+11,2.16E+11,3.12E+11,7,0.12,-1.99E+11
P20,Reliance Industries,energy,6.00E+11,-6.00E+11,1.86E+11,1.62E+11,2.52E+11,5,0.1,-1.08E+11
P21,Hindustan Unilever,FMCG,90450000000,-90450000000,24421500000,26230500000,39798000000,2,0.08,-13756138546
P22,Hindustan Unilever,FMCG,84420000000,-84420000000,24481800000,28702800000,36300600000,2,0.08,-8327055327
P23,Hindustan Unilever,FMCG,90450000000,-90450000000,27135000000,24421500000,29848500000,3,0.08,-20692798354
P24,Hindustan Unilever,FMCG,84420000000,-84420000000,26170200000,27858600000,32079600000,2,0.08,-10838253315
P25,Hindustan Unilever,FMCG,54270000000,-54270000000,12482100000,14110200000,21165300000,3,0.08,-13813580247
P26,Hindustan Unilever,FMCG,48240000000,-48240000000,12542400000,16884000000,15436800000,2,0.08,-9897128487
P27,Hindustan Unilever,FMCG,42210000000,-42210000000,14351400000,15617700000,17728200000,4,0.1,-2936623591
