project_id,project_type,project_scale,project_duration_years,complexity_index,initial_investment,tax_rate,risk_index,year,inflation_rate,market_growth_rate,revenue,operating_cost,capex,working_capital,cash_flow
P0001,Manufacturing,Medium,9,0.68,97927899.89,0.17,0.67,1,0.06,0.01,25091835.95,18278559.3,5887041.96,2220759.4,-2395752.07
P0001,Manufacturing,Medium,9,0.68,97927899.89,0.17,0.67,2,0.07,0.04,31515722.37,21472504.85,2156997.6,2711995.95,5588259.78
P0001,Manufacturing,Medium,9,0.68,97927899.89,0.17,0.67,3,0.09,0.08,47433995.67,36251329.0,4425897.72,4174260.4,3249734.67
P0001,Manufacturing,Medium,9,0.68,97927899.89,0.17,0.67,4,0.05,0.06,48164969.53,35344119.92,1939175.23,4229398.99,8667076.68
P0001,Manufacturing,Medium,9,0.68,97927899.89,0.17,0.67,5,0.06,0.12,67876067.92,49986826.23,4078154.71,5751746.19,9068670.71
P0001,Manufacturing,Medium,9,0.68,97927899.89,0.17,0.67,6,0.05,0.07,51240682.36,37919311.31,1226300.84,4936706.66,10906457.69
P0001,Manufacturing,Medium,9,0.68,97927899.89,0.17,0.67,7,0.03,0.04,51177137.61,36360605.32,5499429.23,4429512.74,7209321.18
P0001,Manufacturing,Medium,9,0.68,97927899.89,0.17,0.67,8,0.06,0.05,48967177.59,34453308.42,1507456.88,4130878.55,10192767.52
P0001,Manufacturing,Medium,9,0.68,97927899.89,0.17,0.67,9,0.05,0.08,51658025.75,36285824.13,1300879.82,4810298.72,10402911.22
P0002,Healthcare,Medium,9,0.55,111944148.77,0.28,0.35,1,0.04,0.04,31321925.26,19008765.3,7758922.95,4027165.97,-2848384.67
P0002,Healthcare,Medium,9,0.55,111944148.77,0.28,0.35,2,0.06,0.05,50698953.28,32259506.51,4622945.37,6330809.44,6124399.23
P0002,Healthcare,Medium,9,0.55,111944148.77,0.28,0.35,3,0.07,0.05,68165753.65,48066545.54,3410298.47,8478585.05,8944297.68
P0002,Healthcare,Medium,9,0.55,111944148.77,0.28,0.35,4,0.05,0.04,57617675.64,36262034.66,3216390.4,7450467.94,13356211.1
P0002,Healthcare,Medium,9,0.55,111944148.77,0.28,0.35,5,0.04,0.05,71974840.31,51109247.02,3987366.63,8174262.7,9761996.81
P0002,Healthcare,Medium,9,0.55,111944148.77,0.28,0.35,6,0.07,0.12,59761129.05,41422056.82,4598982.73,7524089.22,9048787.04
P0002,Healthcare,Medium,9,0.55,111944148.77,0.28,0.35,7,0.04,0.06,68511973.77,49478501.82,1291421.49,9105975.93,10367978.18
P0002,Healthcare,Medium,9,0.55,111944148.77,0.28,0.35,8,0.11,0.07,76961519.43,56880709.26,7358477.02,9418345.46,6712011.57
P0002,Healthcare,Medium,9,0.55,111944148.77,0.28,0.35,9,0.03,0.08,68267213.01,50818583.71,808972.84,8561545.08,12359907.76
P0003,Healthcare,Large,8,0.63,23094432.46,0.26,0.34,1,0.03,0.08,9520616.52,4949648.66,1368853.31,408088.72,1625496.13
P0003,Healthcare,Large,8,0.63,23094432.46,0.26,0.34,2,0.06,0.0,10531007.11,6428819.86,324728.07,496673.52,2687066.01
P0003,Healthcare,Large,8,0.63,23094432.46,0.26,0.34,3,0.03,0.04,12216854.31,6837305.7,938126.52,567164.35,2947247.09
P0003,Healthcare,Large,8,0.63,23094432.46,0.26,0.34,4,0.05,0.08,17102457.56,9907926.04,1227096.21,747222.88,3848599.2
P0003,Healthcare,Large,8,0.63,23094432.46,0.26,0.34,5,0.03,0.02,14833072.57,8069445.37,1212400.08,635657.79,3950990.76
P0003,Healthcare,Large,8,0.63,23094432.46,0.26,0.34,6,0.05,0.1,17411102.61,10387950.95,1182428.26,781426.46,3694721.66
P0003,Healthcare,Large,8,0.63,23094432.46,0.26,0.34,7,0.06,0.0,14513983.29,7945703.01,586692.93,631218.54,4492148.76
P0003,Healthcare,Large,8,0.63,23094432.46,0.26,0.34,8,0.04,0.05,12711845.6,7514835.58,363101.85,501370.07,3572469.14
P0004,Energy,Medium,8,0.43,201244369.36,0.24,0.72,1,0.07,0.05,46822790.88,25339186.23,29003317.88,5980179.19,-18316130.69
P0004,Energy,Medium,8,0.43,201244369.36,0.24,0.72,2,0.08,0.1,68603904.15,34579529.44,8076834.81,9399560.51,14100376.31
P0004,Energy,Medium,8,0.43,201244369.36,0.24,0.72,3,0.05,0.08,92549419.55,48862145.27,5356399.08,13007905.96,25474861.67
P0004,Energy,Medium,8,0.43,201244369.36,0.24,0.72,4,0.07,0.02,83121475.72,45826890.02,3682977.32,10394861.41,25322936.5
P0004,Energy,Medium,8,0.43,201244369.36,0.24,0.72,5,0.06,0.07,93244880.87,54317426.67,3416743.48,12327011.79,25793133.76
P0004,Energy,Medium,8,0.43,201244369.36,0.24,0.72,6,0.04,0.07,91623818.23,50869060.33,7794465.2,11623510.24,25789073.14
P0004,Energy,Medium,8,0.43,201244369.36,0.24,0.72,7,0.05,0.04,90535514.81,53145011.53,12509915.53,11800417.49,16019975.37
P0004,Energy,Medium,8,0.43,201244369.36,0.24,0.72,8,0.03,0.11,102269319.94,50794824.76,1141466.6,11798365.02,38914665.85
P0005,Healthcare,Medium,4,0.62,91923837.15,0.27,0.57,1,0.04,0.09,32249155.35,20647583.63,13020203.06,2745991.54,-7564867.62
P0005,Healthcare,Medium,4,0.62,91923837.15,0.27,0.57,2,0.04,0.05,39527745.49,28384091.35,3956118.16,2924039.05,4269190.28
P0005,Healthcare,Medium,4,0.62,91923837.15,0.27,0.57,3,0.05,0.03,57368896.66,38098666.4,5364058.17,5082258.31,6662122.94
P0005,Healthcare,Medium,4,0.62,91923837.15,0.27,0.57,4,0.07,0.08,50812422.14,38119957.08,1778608.64,4149533.24,8576823.53
P0006,Infrastructure,Small,10,0.4,61459508.88,0.3,0.61,1,0.02,0.06,10436564.06,6612933.12,6085190.68,823941.88,-4303554.42
P0006,Infrastructure,Small,10,0.4,61459508.88,0.3,0.61,2,0.04,0.06,15487488.42,10747720.34,3428041.23,1209744.11,-479373.54
P0006,Infrastructure,Small,10,0.4,61459508.88,0.3,0.61,3,0.1,0.1,17332283.28,11923698.52,2757270.81,1398825.24,861675.39
P0006,Infrastructure,Small,10,0.4,61459508.88,0.3,0.61,4,0.04,0.01,17138724.26,11641179.32,1547486.24,1428308.58,2346828.67
P0006,Infrastructure,Small,10,0.4,61459508.88,0.3,0.61,5,0.05,0.04,21106406.06,15136571.99,1150297.51,1860071.33,2667577.85
P0006,Infrastructure,Small,10,0.4,61459508.88,0.3,0.61,6,0.06,0.06,24819033.91,18660620.93,1216399.03,2119431.68,2929353.7
P0006,Infrastructure,Small,10,0.4,61459508.88,0.3,0.61,7,0.06,0.06,25571115.58,18008574.37,2311425.75,2091052.55,3213336.25
P0006,Infrastructure,Small,10,0.4,61459508.88,0.3,0.61,8,0.04,0.04,18956086.39,13883710.74,2312529.8,1437177.39,1977767.33
P0006,Infrastructure,Small,10,0.4,61459508.88,0.3,0.61,9,0.04,0.1,21121209.37,15554371.88,2338424.36,1758038.45,1209008.71
P0006,Infrastructure,Small,10,0.4,61459508.88,0.3,0.61,10,0.06,-0.01,19650712.54,14538466.91,880022.4,1747233.48,2777621.27
